x_m y_m sigma_xx_Pa sigma_xy_Pa sigma_yy_Pa von_mises_Pa sigma_max_principal_Pa sigma_min_principal_Pa sigma_tension_Pa sigma_comp_mag_Pa
6.3186402276e-05 1.4088144592e-04 -6.8179778896e+01 -3.2982996775e+01 -5.2531112524e+01 5.7759196615e+01 -2.7008157996e+01 -9.3702733424e+01 -1.0469973681e-01 9.3696188134e+01
6.1221433688e-05 1.4007699225e-04 -6.9368877488e+01 -2.8948263612e+01 -4.6990653511e+01 5.3667481563e+01 -2.7194830573e+01 -8.9164700427e+01 -5.5221432147e-03 8.9165283832e+01
5.9194375209e-05 1.3935763932e-04 -6.9678924517e+01 -2.5778999560e+01 -4.3801346282e+01 4.9716432499e+01 -2.8036339713e+01 -8.5443931085e+01 4.9376641503e-03 8.5444109879e+01
5.7121994780e-05 1.3870836849e-04 -6.9695578063e+01 -2.3240146654e+01 -4.1631067288e+01 4.6855262065e+01 -2.8611424509e+01 -8.2715220842e+01 -8.7418813204e-04 8.2715126292e+01
5.5014780642e-05 1.3811861856e-04 -6.9383895994e+01 -2.1028283020e+01 -3.9968291034e+01 4.4287766597e+01 -2.9106539548e+01 -8.0245647481e+01 -5.6498804537e-05 8.0245670238e+01
5.2878617482e-05 1.3757970634e-04 -6.8959474329e+01 -1.9083061058e+01 -3.8663832417e+01 4.2046301995e+01 -2.9536209597e+01 -7.8087097148e+01 1.1100589424e-04 7.8087092576e+01
5.0718228753e-05 1.3708508670e-04 -6.8358853397e+01 -1.7192093503e+01 -3.7510322929e+01 3.9927384906e+01 -2.9882501739e+01 -7.5986674587e+01 -3.2174865487e-05 7.5986675304e+01
4.8535646535e-05 1.3662893488e-04 -6.7478305743e+01 -1.5495546459e+01 -3.6582994370e+01 3.7831958241e+01 -3.0188358782e+01 -7.3872941331e+01 2.5533401344e-06 7.3872941278e+01
4.6332691818e-05 1.3620615710e-04 -6.6353631520e+01 -1.4002101441e+01 -3.5872339527e+01 3.5737558131e+01 -3.0479896716e+01 -7.1746074331e+01 -1.1105241217e-06 7.1746074319e+01
4.4110719817e-05 1.3581265482e-04 -6.5117379325e+01 -1.2621095687e+01 -3.5275759211e+01 3.3746116235e+01 -3.0713239976e+01 -6.9679898561e+01 4.3085348886e-07 6.9679898568e+01
4.1871009985e-05 1.3544522340e-04 -6.3745943212e+01 -1.1345814765e+01 -3.4770820495e+01 3.1808011119e+01 -3.0894018072e+01 -6.7622745636e+01 -1.6290390120e-07 6.7622745634e+01
3.9614334665e-05 1.3510079106e-04 -6.2306282937e+01 -1.0219179293e+01 -3.4356090807e+01 2.9930410276e+01 -3.1050856442e+01 -6.5611517302e+01 2.8053418559e-08 6.5611517302e+01
3.7341398832e-05 1.3477669497e-04 -6.0766722703e+01 -9.2019790351e+00 -3.4025303128e+01 2.8055493003e+01 -3.1198166477e+01 -6.3593859353e+01 1.0855622241e-08 6.3593859353e+01
3.5052656598e-05 1.3447056390e-04 -5.9145934633e+01 -8.2954005026e+00 -3.3756954365e+01 2.6192310779e+01 -3.1329306820e+01 -6.1573582178e+01 7.1526740688e-09 6.1573582178e+01
