x_m,y_m,sigma_xx_Pa,sigma_xy_Pa,sigma_yy_Pa,von_mises_Pa,sigma_max_principal_Pa,sigma_min_principal_Pa,sigma_tension_Pa,sigma_comp_mag_Pa
7.7438016478e-05,1.5304892019e-04,1.1104957141e+01,2.3963244414e+00,-1.7498881845e+01,2.5056890157e+01,1.1269639926e+01,-1.7663564629e+01,1.1262373601e+01,1.7708761413e+01
7.3791550866e-05,1.5142565834e-04,1.1849341323e+01,4.1290622319e+00,-1.8064242127e+01,2.6115206158e+01,1.1970170904e+01,-1.8185071707e+01,1.3195148418e+01,1.7829660678e+01
7.0263847043e-05,1.4950153101e-04,2.0273535831e+01,5.5065788684e+00,-1.4221154441e+01,3.3462652156e+01,2.2345861924e+01,-1.6293480537e+01,1.8573791278e+01,1.8122175054e+01
6.7065202486e-05,1.4709677554e-04,-6.1869528423e-01,1.0466856197e+01,-2.6767481595e+01,1.7431485689e+01,-3.6290154845e+00,-2.3757161395e+01,-2.6649577318e+00,1.7081671095e+01
6.5193792751e-05,1.4426926794e-04,3.1929209747e+01,-2.3238200799e+01,-1.8974675238e+01,5.3927214214e+01,3.7612158897e+01,-2.4657624388e+01,4.1581853782e+01,3.5513413434e+01
6.4021897236e-05,1.4273023827e-04,-6.4483870666e+01,-3.8102626494e+01,-1.1490726629e+02,7.6346868637e+01,-4.5616683320e+01,-1.3377445364e+02,-1.5343766939e+01,1.2881487802e+02
6.2341845509e-05,1.4165099896e-04,-5.9358055968e+01,-4.1056561823e+01,-6.0440876621e+01,7.1009650909e+01,-1.8902025227e+01,-1.0089690736e+02,3.4983792866e+00,1.0208647695e+02
6.0477862484e-05,1.4074053590e-04,-6.8765132078e+01,-3.4033644274e+01,-5.3868879325e+01,5.9299990681e+01,-2.7080140119e+01,-9.5553871284e+01,-5.0564581169e-01,9.5372735118e+01
5.8520871277e-05,1.3993820099e-04,-7.0056112938e+01,-3.0048451343e+01,-4.7830970819e+01,5.5373100408e+01,-2.6973867452e+01,-9.0913216305e+01,2.7599796077e-02,9.0925459192e+01
5.6503888956e-05,1.3922261819e-04,-7.1065461712e+01,-2.6706806779e+01,-4.4428586299e+01,5.1434241440e+01,-2.8051450864e+01,-8.7442597147e+01,7.0845274722e-03,8.7445022009e+01
5.4441986827e-05,1.3857888241e-04,-7.1154651053e+01,-2.3776877607e+01,-4.1940720500e+01,4.8114837998e+01,-2.8768571106e+01,-8.4326800447e+01,-1.8569489725e-03,8.4325792830e+01
5.2343039172e-05,1.3799481581e-04,-7.0858117173e+01,-2.1304939374e+01,-4.0112654231e+01,4.5310028198e+01,-2.9325628725e+01,-8.1645142680e+01,2.3790117365e-05,8.1645384737e+01
5.0214078149e-05,1.3746176606e-04,-7.0291335673e+01,-1.8981082038e+01,-3.8579865737e+01,4.2741453577e+01,-2.9758810977e+01,-7.9112390433e+01,4.4462149315e-05,7.9112345630e+01
4.8058327799e-05,1.3697238097e-04,-6.9388903946e+01,-1.6982905431e+01,-3.7408714094e+01,4.0323588347e+01,-3.0117974433e+01,-7.6679643607e+01,-6.6531632268e-06,7.6679647914e+01
4.5878878927e-05,1.3652052893e-04,-6.8220818458e+01,-1.5263834470e+01,-3.6535867197e+01,3.7979453914e+01,-3.0450894886e+01,-7.4305790769e+01,4.7880507567e-06,7.4305790900e+01
