x_m,y_m,wss_mag_dyn_cm2,wss_x_dyn_cm2,wss_y_dyn_cm2,pressure_Pa,normal_x,normal_y
1.8581381305e-04,1.6474104376e-04,3.1777995939e+01,3.1702573621e+01,-2.1881160119e+00,1.7385187396e+01,6.8856324865e-02,9.9762658672e-01
1.8979841977e-04,1.6440416407e-04,3.1314314086e+01,3.1158566195e+01,-3.1192978891e+00,1.7185463469e+01,9.9612524822e-02,9.9502630362e-01
1.9377306083e-04,1.6396215872e-04,3.0784372728e+01,3.0556590316e+01,-3.7379663674e+00,1.7038246981e+01,1.2142415246e-01,9.9260071288e-01
1.9773763342e-04,1.6343699791e-04,3.0331536979e+01,3.0027667719e+01,-4.2826752008e+00,1.6908754836e+01,1.4119545619e-01,9.8998173880e-01
2.0563423184e-04,1.6216613468e-04,2.9554515114e+01,2.9093188055e+01,-5.2015163562e+00,1.6679181984e+01,1.7599735053e-01,9.8439064025e-01
2.0956522988e-04,1.6143021338e-04,2.9197349298e+01,2.8654037111e+01,-5.6063681003e+00,1.6571937798e+01,1.9201633830e-01,9.8139172904e-01
2.1348396379e-04,1.6063149411e-04,2.8857711897e+01,2.8230232973e+01,-5.9851050287e+00,1.6472655310e+01,2.0740053993e-01,9.7825610963e-01
2.1738988693e-04,1.5977226763e-04,2.8525497069e+01,2.7811909963e+01,-6.3404768917e+00,1.6371646863e+01,2.2227401950e-01,9.7498423590e-01
2.2128244378e-04,1.5885435454e-04,2.8202072195e+01,2.7400319206e+01,-6.6767794240e+00,1.6276409434e+01,2.3674783108e-01,9.7157113197e-01
2.2516105387e-04,1.5787916812e-04,2.7885658729e+01,2.6993574971e+01,-6.9969188251e+00,1.6184680467e+01,2.5091459711e-01,9.6800922772e-01
2.2902511536e-04,1.5684782654e-04,2.7575039585e+01,2.6590481524e+01,-7.3026776188e+00,1.6092560855e+01,2.6482927056e-01,9.6429531652e-01
2.3287400902e-04,1.5576123666e-04,2.7269834083e+01,2.6190600030e+01,-7.5958094371e+00,1.6003582805e+01,2.7854256149e-01,9.6042388633e-01
2.4052368786e-04,1.5342501045e-04,2.6649848866e+01,2.5375495888e+01,-8.1423984816e+00,1.5828679460e+01,3.0553263257e-01,9.5218160581e-01
2.4432312316e-04,1.5217641691e-04,2.6347998175e+01,2.4972748785e+01,-8.4011205192e+00,1.5744119749e+01,3.1885232659e-01,9.4780440695e-01
2.4810469218e-04,1.5087471301e-04,2.6037775189e+01,2.4560057452e+01,-8.6469251615e+00,1.5661127934e+01,3.3209155156e-01,9.4324715816e-01
2.5186765346e-04,1.4952015874e-04,2.5727372061e+01,2.4145119588e+01,-8.8831792305e+00,1.5577546901e+01,3.4528125179e-01,9.3849925794e-01
2.5561123436e-04,1.4811293020e-04,2.5412938480e+01,2.3724392777e+01,-9.1088215241e+00,1.5496347960e+01,3.5843243910e-01,9.3355566872e-01
