x_m y_m sigma_comp_mag_Pa
-4.4519740007e-05 6.8299538384e-05 4.0137765555e+01
2.6882524912e-04 4.2244995698e-05 1.6254418679e+01
-1.1173955021e-04 6.6837031391e-05 3.9610582612e+01
-1.7480873979e-04 1.0248618853e-04 3.4710008855e+01
-2.1850720888e-04 8.9639914460e-05 3.6079566094e+01
-2.1653468331e-04 9.1486919418e-05 3.5969262224e+01
-2.1403609517e-04 9.1094244696e-05 3.5947874840e+01
-2.0940102051e-04 9.2670878923e-05 3.5802274433e+01
-2.0722000578e-04 9.4447146322e-05 3.5683419691e+01
-1.5740850989e-04 6.8364292864e-05 3.8538414615e+01
3.5810708390e-04 3.9199966282e-05 1.2839219105e+01
2.2048625724e-05 1.3706009550e-05 3.9089665496e+01
6.7058901555e-05 1.4134248533e-05 2.6958288722e+01
-8.8879260994e-05 1.3350862304e-05 5.1232535239e+01
-1.3475840178e-04 1.3390247531e-05 5.0401986381e+01
-8.8798641112e-05 9.5109961413e-05 3.4850788947e+01
1.1141683309e-04 1.4618705101e-05 2.2910669262e+01
3.1241042657e-04 4.1523089153e-05 1.5097554525e+01
-1.3552463495e-04 9.4912327933e-05 3.4788407347e+01
4.3993519791e-05 9.4283547856e-05 2.2411203065e+01
2.2435947052e-04 1.2208594999e-04 1.4554064577e+01
2.4704440576e-04 6.9701799971e-05 1.5558501817e+01
-1.5760106209e-04 1.3432749666e-05 4.9446838957e+01
-2.9113167009e-04 1.4396142048e-05 1.7043231069e+01
-3.3668814844e-04 1.3378104248e-05 1.6999624895e+01
2.4637886050e-04 1.3074854613e-05 1.9923944394e+01
2.0031017921e-04 6.8933719282e-05 1.6987606841e+01
2.2302958159e-04 1.4097558269e-05 1.9498056157e+01
2.0326024678e-04 1.2725678555e-05 1.9716219055e+01
8.9890853183e-05 9.4601377175e-05 2.2627021935e+01
-1.3084066519e-06 4.1040858820e-05 3.9338540361e+01
-9.6101772338e-05 1.1778651488e-04 3.2680230920e+01
-8.8200940931e-05 6.8297204585e-05 3.9768818573e+01
-6.6376385044e-05 6.8166712159e-05 4.0144801063e+01
1.3489650911e-04 1.2338558478e-04 1.7034389857e+01
-1.3583674839e-04 4.0675299008e-05 4.4658423626e+01
-1.8913886166e-05 1.2763860688e-04 3.2991321791e+01
