x_m,y_m,sigma_comp_mag_Pa
-1.8800000000e-04,2.2502884934e-20,4.9576716213e+01
-1.8400000000e-04,2.2349804084e-20,4.9933061184e+01
-1.8000000000e-04,2.2196723235e-20,5.0264721278e+01
-1.7600000000e-04,2.2043642385e-20,5.0573876572e+01
-1.6000000000e-04,2.1431318985e-20,5.1620091288e+01
-1.5600000000e-04,2.1278238135e-20,5.1840855597e+01
-1.5200000000e-04,2.1125157285e-20,5.2047099968e+01
-1.4800000000e-04,2.0972076435e-20,5.2239903185e+01
-1.3200000000e-04,2.0359753036e-20,5.2884282623e+01
-1.2800000000e-04,2.0206672186e-20,5.3015132414e+01
-1.2400000000e-04,2.0053591336e-20,5.3133865400e+01
-1.2000000000e-04,1.9900510486e-20,5.3240578214e+01
-1.0400000000e-04,1.9288187087e-20,5.3539168269e+01
-1.0000000000e-04,1.9135106237e-20,5.3579248866e+01
-9.6000000000e-05,1.8982025387e-20,5.3604260533e+01
-9.2000000000e-05,1.8828944537e-20,5.3613128702e+01
-7.6000000000e-05,1.8216621137e-20,5.3467791777e+01
-7.2000000000e-05,1.8063540287e-20,5.3380255963e+01
-6.8000000000e-05,1.7910459438e-20,5.3269366069e+01
-6.4000000000e-05,1.7757378588e-20,5.3133854784e+01
-5.2000000000e-05,1.7298136038e-20,5.2562533780e+01
-4.8000000000e-05,1.7145055188e-20,5.2311697468e+01
-4.4000000000e-05,1.6991974338e-20,5.2027565231e+01
-4.0000000000e-05,1.6838893488e-20,5.1708679283e+01
-3.6000000000e-05,1.6685812638e-20,5.1353064933e+01
-2.4000000000e-05,1.6226570089e-20,5.0050251883e+01
-2.0000000000e-05,1.6073489239e-20,4.9532562147e+01
-1.6000000000e-05,1.5920408389e-20,4.8970951468e+01
-1.2000000000e-05,1.5767327539e-20,4.8364810524e+01
-8.0000000000e-06,1.5614246689e-20,4.7713480814e+01
4.0000000000e-06,1.5155004139e-20,4.5488638261e+01
8.0000000000e-06,1.5001923290e-20,4.4658991750e+01
1.2000000000e-05,1.4848842440e-20,4.3787721236e+01
1.6000000000e-05,1.4695761590e-20,4.2877127186e+01
2.0000000000e-05,1.4542680740e-20,4.1930072783e+01
3.2000000000e-05,1.4083438190e-20,3.8908061317e+01
3.6000000000e-05,1.3930357340e-20,3.7856015679e+01
4.0000000000e-05,1.3777276490e-20,3.6790752567e+01
4.4000000000e-05,1.3624195641e-20,3.5718266169e+01
6.0000000000e-05,1.3011872241e-20,3.1490258808e+01
6.4000000000e-05,1.2858791391e-20,3.0483994726e+01
6.8000000000e-05,1.2705710541e-20,2.9512488984e+01
7.2000000000e-05,1.2552629691e-20,2.8582998315e+01
8.8000000000e-05,1.1940306292e-20,2.5424316323e+01
9.2000000000e-05,1.1787225442e-20,2.4804558691e+01
9.6000000000e-05,1.1634144592e-20,2.4260465994e+01
1.0000000000e-04,1.1481063742e-20,2.3790672246e+01
1.1200000000e-04,1.1021821192e-20,2.2776247096e+01
1.1600000000e-04,1.0868740342e-20,2.2548643304e+01
1.2000000000e-04,1.0715659493e-20,2.2364232116e+01
1.2400000000e-04,1.0562578643e-20,2.2218328752e+01
1.4000000000e-04,9.9502552431e-21,2.1810427166e+01
1.4400000000e-04,9.7971743932e-21,2.1726860779e+01
1.4800000000e-04,9.6440935433e-21,2.1645233095e+01
1.5200000000e-04,9.4910126934e-21,2.1519535947e+01
1.6800000000e-04,8.8786892938e-21,2.1143742536e+01
1.7200000000e-04,8.7256084439e-21,2.1127994937e+01
1.7600000000e-04,8.5725275940e-21,2.1105320251e+01
1.8000000000e-04,8.4194467441e-21,2.1051691867e+01
1.9600000000e-04,7.8071233446e-21,2.1003441131e+01
2.0000000000e-04,7.6540424947e-21,2.1032034376e+01
2.0400000000e-04,7.5009616448e-21,2.1090625482e+01
2.0800000000e-04,7.3478807949e-21,2.1109506484e+01
2.2400000000e-04,6.7355573953e-21,2.1438583149e+01
2.2800000000e-04,6.5824765454e-21,2.1561900978e+01
2.3200000000e-04,6.4293956955e-21,2.1721844697e+01
2.3600000000e-04,6.2763148456e-21,2.1840907742e+01
2.4000000000e-04,6.1232339957e-21,2.2009211783e+01
2.4400000000e-04,5.9701531458e-21,2.2155449271e+01
2.4800000000e-04,5.8170722959e-21,2.2378181041e+01
2.5200000000e-04,5.6639914461e-21,2.2521424133e+01
2.5600000000e-04,5.5109105962e-21,2.2714539913e+01
2.6000000000e-04,5.3578297463e-21,2.2952821046e+01
2.6400000000e-04,5.2047488964e-21,2.3121324069e+01
2.6800000000e-04,5.0516680465e-21,2.3338726615e+01
2.7200000000e-04,4.8985871966e-21,2.3072689156e+01
