x_m y_m sigma_comp_mag_Pa
-2.1129394606e-04 3.8898432673e-05 4.1172737339e+01
-2.0548538951e-04 4.0466471872e-05 4.1416416459e+01
-2.0227997216e-04 4.0336953568e-05 4.1693686767e+01
-1.9255738256e-04 3.9994422563e-05 4.2462868557e+01
-1.8928401058e-04 3.9893925963e-05 4.2700109925e+01
-1.8435971843e-04 4.3291703400e-05 4.2334000277e+01
-1.8111116182e-04 4.3191166986e-05 4.2537717088e+01
-1.7128619207e-04 4.2921785013e-05 4.3111371772e+01
-1.6566498588e-04 4.4538336566e-05 4.3039673426e+01
-1.6237456977e-04 4.4460066643e-05 4.3206067168e+01
-1.5907370877e-04 4.4385976490e-05 4.3367472691e+01
-1.5244274755e-04 4.4249499331e-05 4.3675290394e+01
-1.4911360289e-04 4.4186769076e-05 4.3821557214e+01
-1.4577599137e-04 4.4127499058e-05 4.3962549286e+01
-1.3907716442e-04 4.4018830364e-05 4.4227824017e+01
-1.3571846742e-04 4.3969847548e-05 4.4351314941e+01
-1.3235529607e-04 4.3923857914e-05 4.4468281435e+01
-1.3150936224e-04 4.7352689363e-05 4.3734027642e+01
-1.1342993469e-04 4.5416896303e-05 4.4611675697e+01
-9.9889286037e-05 4.5319062197e-05 4.4788522998e+01
-9.9467267542e-05 4.8730239012e-05 4.4087324550e+01
-9.6133476680e-05 4.8711486389e-05 4.4105708854e+01
-8.6069887298e-05 4.8679677621e-05 4.4060914973e+01
-8.2710041462e-05 4.8677400768e-05 4.4006988098e+01
-7.9348484864e-05 4.8679688297e-05 4.3930403918e+01
-7.2622470086e-05 4.8698332924e-05 4.3700914656e+01
-6.9258751664e-05 4.8715235938e-05 4.3543445563e+01
-6.5895211270e-05 4.8737418398e-05 4.3354275754e+01
-5.9170546378e-05 4.8798606006e-05 4.2870455322e+01
-5.5810606981e-05 4.8838100538e-05 4.2570393930e+01
-5.2453134367e-05 4.8884695882e-05 4.2227727555e+01
-4.5745498229e-05 4.8996272291e-05 4.1403458871e+01
-4.2397983484e-05 4.9062404656e-05 4.0916243864e+01
-3.9055222406e-05 4.9135848361e-05 4.0375266096e+01
-3.2386435971e-05 4.9305385334e-05 3.9121955810e+01
-2.9062240769e-05 4.9401892802e-05 3.8405354092e+01
-1.5852248778e-05 4.9868369741e-05 3.4911049177e+01
-1.6839116584e-06 5.2344095054e-05 2.9578607529e+01
7.8213452695e-06 5.2905856668e-05 2.5622375191e+01
1.0951868676e-05 5.3105949789e-05 2.4597739001e+01
1.4061157416e-05 5.3311350884e-05 2.2376370775e+01
2.0304082118e-05 5.3766217818e-05 2.1528805265e+01
2.3453152908e-05 5.4019891060e-05 2.1469200570e+01
2.8877966513e-05 5.2499703822e-05 2.1536716776e+01
3.2090563975e-05 5.2778677879e-05 2.1570255537e+01
3.8579489671e-05 5.3389255051e-05 2.1654367817e+01
4.1857069016e-05 5.3721630379e-05 2.1699611364e+01
5.6117639011e-05 5.7545058198e-05 2.1892796911e+01
5.9515462395e-05 5.7997529315e-05 2.1944169551e+01
6.2938720043e-05 5.8468259391e-05 2.1997048718e+01
6.8944055550e-05 5.7024658472e-05 2.2104376025e+01
7.2443219692e-05 5.7518319870e-05 2.2158893800e+01
7.5968095000e-05 5.8029427302e-05 2.2214218707e+01
8.3094431363e-05 5.9103984063e-05 2.2326999136e+01
8.7626311330e-05 6.2262220989e-05 2.2399156622e+01
9.1255480757e-05 6.2873879323e-05 2.2457492746e+01
9.4909234772e-05 6.3502649433e-05 2.2514945601e+01
1.0134596070e-04 6.2089985154e-05 2.2608496051e+01
1.0506776131e-04 6.2737700647e-05 2.2678033903e+01
-3.2880782591e-05 5.2791295286e-05 3.8741508912e+01
1.0881135589e-04 6.3401428063e-05 2.2794105980e+01
1.0975837101e-04 6.6183314815e-05 2.2926927736e+01
1.1257132112e-04 6.4079982980e-05 2.2916503115e+01
4.3695178344e-05 5.8152065944e-05 2.1701300701e+01
1.1351189753e-04 6.6890351999e-05 2.2748132520e+01
1.1727040638e-04 6.7608981523e-05 2.2399945406e+01
1.2103361136e-04 6.8339003978e-05 2.2089460136e+01
1.2766307401e-04 6.6913349725e-05 2.1686684826e+01
1.3144642450e-04 6.7650536508e-05 2.1405519798e+01
1.3523336012e-04 6.8398796142e-05 2.1132615193e+01
1.3612698368e-04 7.1369511976e-05 2.0965559565e+01
1.0323426978e-04 6.7574962168e-05 2.2667881016e+01
1.3990885627e-04 7.2154342819e-05 2.0700371024e+01
1.4370470996e-04 7.2954692830e-05 2.0428523117e+01
1.5040847409e-04 7.1501185194e-05 2.0062254410e+01
1.2195197131e-04 7.1246084003e-05 2.1897268188e+01
1.5420464936e-04 7.2301598178e-05 1.9778286634e+01
1.5799734645e-04 7.3110856765e-05 1.9481835030e+01
1.5882703100e-04 7.6221308728e-05 1.9271581872e+01
1.4081179078e-04 7.5197185628e-05 2.0521540016e+01
1.6260211884e-04 7.7056532786e-05 1.8956242197e+01
